user_id,lessonTest1_score,lessonWebinar2_visit,lesson3_visit,lesson3_progress,lesson4_visit,lesson4_progress,lesson5_visit,lesson5_progress,lesson6_visit,lesson6_progress,lesson7_visit,lesson7_progress,lessonTest8_score,lessonWebinar9_visit,lesson10_visit,lesson10_progress,lesson11_visit,lesson11_progress,lesson12_visit,lesson12_progress,lessonWebinar13_visit,lessonTest14_score
65,6,0,0,22,0,23,0,0,0,21,0,21,2,0,0,18,1,15,0,18,0,3
79,29,1,1,28,1,10,0,3,1,14,0,7,11,0,1,22,1,24,0,28,0,29
82,15,0,0,11,0,18,0,11,1,5,0,4,27,1,1,0,0,8,0,21,1,29
84,6,0,0,14,0,24,1,5,0,25,1,25,14,0,0,15,1,9,0,18,0,10
86,18,0,1,23,0,12,0,13,0,9,0,20,12,1,1,4,0,9,0,9,1,10
88,14,0,1,2,0,28,0,21,1,4,1,21,28,0,0,22,0,9,1,0,0,4
96,20,0,0,13,1,4,0,27,1,8,0,12,24,0,0,28,0,8,0,18,1,8
98,14,0,1,23,1,22,0,0,0,29,0,7,25,0,0,20,0,14,0,27,0,28
99,21,0,0,12,0,16,0,0,0,14,0,29,2,0,0,8,0,18,0,16,0,25
104,18,1,0,3,0,13,1,24,1,13,0,25,26,1,0,0,0,8,0,18,1,3
106,10,1,1,17,0,24,0,20,1,6,0,19,7,0,1,1,0,14,0,1,0,25
109,11,0,0,22,0,7,0,0,1,10,1,28,28,0,0,3,0,13,1,14,0,18
111,13,0,0,23,0,24,0,14,0,12,1,26,19,0,0,19,1,20,1,12,0,17
114,17,1,1,25,1,11,0,0,1,9,1,23,10,1,0,4,0,15,0,26,0,12
123,23,1,0,13,1,11,1,8,1,18,1,14,23,0,0,17,1,10,0,14,0,10
125,0,0,0,13,0,1,1,25,0,27,0,28,13,1,0,27,0,0,0,8,0,2
127,7,0,1,26,1,14,0,26,0,14,0,8,0,0,0,28,0,24,0,22,0,6
129,2,0,0,3,0,19,0,11,0,20,0,6,16,0,1,12,1,17,0,28,0,25
131,22,0,0,25,0,0,0,3,1,7,1,0,4,0,0,13,0,25,0,19,0,8
132,18,0,0,8,1,9,0,27,1,27,1,27,29,1,0,1,1,18,1,25,0,13
134,9,0,0,8,0,23,1,28,1,0,0,1,0,0,0,14,0,14,1,25,1,1
135,25,0,0,10,0,4,0,26,0,26,0,9,27,0,0,10,0,15,1,20,0,10
140,3,1,0,16,1,5,0,27,0,27,1,12,12,0,0,24,0,2,1,28,0,7
141,17,1,0,8,0,7,0,8,0,8,0,14,9,0,0,8,1,11,1,18,0,18
146,8,0,1,18,0,21,0,8,0,9,0,27,16,1,1,3,1,24,0,14,1,20
