user_id,lessonTest1_score,lessonWebinar2_visit,lesson3_visit,lesson3_progress,lesson4_visit,lesson4_progress,lesson5_visit,lesson5_progress,lesson6_visit,lesson6_progress,lesson7_visit,lesson7_progress,lessonTest8_score,lessonWebinar9_visit,lesson10_visit,lesson10_progress,lesson11_visit,lesson11_progress,lesson12_visit,lesson12_progress,lessonWebinar13_visit,lessonTest14_score
83,70,1,0,81,1,77,1,70,1,85,0,79,71,1,1,84,1,93,0,90,1,80
85,97,1,1,83,1,79,1,95,1,93,1,82,95,1,1,93,0,86,0,74,1,80
90,91,1,0,94,1,80,1,91,1,90,1,84,80,1,0,86,1,71,1,77,1,70
92,83,1,1,71,1,92,1,84,0,99,0,75,85,1,1,90,1,81,1,92,1,93
95,95,1,0,74,1,97,1,71,0,86,1,90,80,1,1,78,1,91,1,90,1,90
97,76,1,0,91,1,80,0,97,1,77,1,84,86,1,0,88,1,96,1,84,0,93
102,73,1,1,93,1,84,1,74,1,86,1,93,95,1,1,93,1,97,1,78,0,79
105,88,1,1,87,0,83,1,91,0,76,0,96,98,1,1,84,1,71,1,85,1,72
108,81,1,1,74,1,74,0,91,1,80,1,76,79,1,0,97,0,83,1,71,0,79
110,83,1,1,85,1,95,0,99,1,78,1,80,73,1,1,92,1,81,0,95,0,98
112,94,0,1,81,1,97,1,74,1,79,1,99,88,1,1,85,1,91,0,77,0,81
115,98,1,1,81,0,96,1,75,1,79,1,93,79,0,0,98,0,74,0,73,1,96
116,75,0,0,94,0,71,1,83,1,86,1,80,90,1,1,87,1,95,0,85,1,73
120,79,1,1,91,1,76,1,96,1,70,0,70,83,1,0,87,1,88,1,78,1,81
121,83,1,1,79,1,97,1,87,1,77,1,82,90,0,0,83,0,81,1,97,1,77
122,99,1,1,87,1,94,0,94,1,84,0,79,70,1,1,78,1,72,1,75,0,87
124,83,1,1,90,1,89,0,82,1,84,1,96,70,0,1,88,0,86,0,88,1,93
130,74,1,0,98,0,92,0,70,1,97,1,74,87,0,1,91,1,89,1,86,1,81
139,70,1,1,74,0,81,1,89,1,76,1,88,96,0,0,97,1,96,1,91,1,85
143,89,1,0,99,1,81,0,83,1,78,1,84,80,1,1,70,1,89,1,83,1,79
144,80,1,0,77,0,86,1,79,1,96,1,72,75,1,1,89,1,82,1,84,1,77
145,80,0,1,96,1,76,1,78,0,91,0,81,96,0,1,92,1,80,1,78,0,73
147,77,0,1,98,1,99,1,89,1,76,1,93,71,1,0,80,1,97,0,78,0,74
149,97,1,1,75,1,70,1,95,0,95,1,91,93,1,1,77,1,95,1,89,0,76
157,86,1,0,77,1,78,0,94,0,98,1,99,73,1,0,79,1,77,1,77,1,72
