user_id,lessonTest1_score,lessonWebinar2_visit,lesson3_visit,lesson3_progress,lesson4_visit,lesson4_progress,lesson5_visit,lesson5_progress,lesson6_visit,lesson6_progress,lesson7_visit,lesson7_progress,lessonTest8_score,lessonWebinar9_visit,lesson10_visit,lesson10_progress,lesson11_visit,lesson11_progress,lesson12_visit,lesson12_progress,lessonWebinar13_visit,lessonTest14_score
1,62,0,1,47,0,41,1,34,1,36,1,53,60,1,0,44,0,39,0,45,1,57
4,67,1,0,69,1,50,1,59,1,45,0,38,42,1,0,35,1,69,0,35,0,46
14,30,0,0,41,1,44,0,69,0,57,1,63,51,1,0,36,1,55,0,69,1,33
17,52,1,0,69,0,60,1,53,1,63,1,60,31,1,0,30,1,37,0,58,0,34
18,62,1,0,50,0,31,1,52,0,59,1,66,56,0,1,45,1,45,1,30,1,56
22,36,0,0,34,0,45,0,64,1,46,1,58,69,0,0,36,0,65,1,51,0,37
25,33,1,1,42,0,67,1,34,1,65,0,53,31,0,0,38,1,33,0,42,0,43
26,43,0,0,43,1,30,1,44,0,67,0,64,55,0,1,49,1,44,0,37,1,51
27,39,1,1,58,1,54,1,36,0,67,1,55,59,0,1,61,1,47,0,43,0,43
40,52,0,1,60,1,34,0,65,0,37,0,64,49,1,0,36,1,58,0,57,1,55
41,55,0,0,54,1,30,1,66,1,49,0,52,36,0,0,41,1,36,0,56,1,34
42,36,0,1,37,1,48,1,68,0,59,1,56,62,0,1,42,0,49,0,55,1,64
44,32,1,1,46,0,36,1,62,0,63,0,66,66,1,1,35,0,64,0,36,1,58
47,42,1,0,51,0,50,0,38,0,67,0,56,45,1,1,66,0,46,0,31,0,45
54,66,1,1,69,1,49,1,62,1,43,0,58,54,1,0,53,0,67,1,35,0,65
57,35,1,0,69,1,68,0,69,0,34,1,35,56,1,1,56,1,49,0,60,1,66
58,57,0,0,65,1,49,0,45,1,32,1,48,63,0,1,38,0,65,1,56,0,38
59,66,1,1,32,1,57,0,35,0,49,1,67,43,1,1,68,0,31,0,67,0,69
61,55,1,0,46,1,31,1,34,1,31,0,46,69,0,1,50,1,51,0,43,0,67
64,36,0,1,43,1,50,1,32,0,64,0,35,48,1,0,44,0,40,1,45,0,69
66,46,0,0,46,0,45,1,40,1,64,0,35,42,0,0,62,1,39,1,66,1,61
67,66,1,0,63,1,59,0,66,1,42,1,37,64,0,0,61,1,66,1,44,0,42
70,43,0,1,63,0,65,0,69,1,47,0,67,64,1,1,60,0,34,1,64,0,31
71,62,0,1,53,0,62,1,48,0,64,0,42,64,1,1,63,1,39,1,67,0,45
73,59,1,0,62,0,52,1,65,0,33,1,59,36,1,0,35,1,31,1,57,0,52
