user_id,lessonTest1_score,lessonWebinar2_visit,lesson3_visit,lesson3_progress,lesson4_visit,lesson4_progress,lesson5_visit,lesson5_progress,lesson6_visit,lesson6_progress,lesson7_visit,lesson7_progress,lessonTest8_score,lessonWebinar9_visit,lesson10_visit,lesson10_progress,lesson11_visit,lesson11_progress,lesson12_visit,lesson12_progress,lessonWebinar13_visit,lessonTest14_score
263,3,1,1,7,0,26,0,16,0,3,0,17,14,0,0,12,0,28,0,14,1,21
254,67,1,1,37,0,52,0,69,0,39,1,39,66,1,0,65,0,63,0,46,1,44
246,73,1,1,93,0,85,1,98,1,98,1,74,72,0,1,73,1,91,0,79,1,91
255,50,1,0,64,0,32,1,43,0,32,1,53,56,0,1,31,1,67,1,34,1,44
277,90,1,1,93,1,84,1,75,0,79,1,82,76,1,0,87,1,87,1,88,0,81
289,19,0,1,24,0,6,1,27,1,28,0,10,0,0,0,1,1,2,0,6,0,21
284,3,1,0,6,1,20,0,14,0,21,1,23,3,0,1,9,0,1,0,10,0,11
295,10,1,0,18,0,26,0,7,0,20,0,5,20,1,0,24,0,12,1,25,0,14
275,97,1,0,98,0,93,1,81,1,89,1,72,98,1,1,96,1,72,1,85,0,79
259,32,0,1,40,0,56,0,48,1,36,1,33,65,0,0,42,0,62,1,39,0,35
258,30,0,0,31,1,39,1,50,0,47,0,44,55,1,0,56,0,59,0,38,1,60
268,79,1,0,78,1,79,1,81,1,90,1,75,79,0,1,93,1,87,1,92,0,88
271,4,1,0,11,0,23,0,18,1,28,0,28,6,0,0,17,0,9,1,24,0,5
299,47,0,0,34,0,53,1,40,1,69,0,40,39,0,1,54,1,65,0,36,0,44
282,9,0,0,8,0,0,0,14,0,19,0,13,10,0,0,25,1,29,0,9,1,11
226,10,0,0,9,0,10,1,3,0,5,0,12,17,1,0,3,1,22,1,2,0,12
244,80,1,1,76,1,72,0,83,0,71,0,98,95,1,0,88,1,90,1,70,1,80
257,42,1,1,48,1,31,1,33,0,38,1,50,65,1,1,67,1,63,0,63,1,38
296,17,1,0,4,0,14,0,20,0,8,1,20,18,0,1,2,0,13,1,12,0,19
248,46,1,1,65,0,45,1,62,1,50,0,47,41,1,1,50,0,43,0,50,0,41
292,78,1,1,70,1,95,1,97,0,89,1,89,81,0,0,92,1,79,1,94,1,80
237,84,0,0,85,1,82,1,89,0,93,1,81,97,0,1,81,1,87,1,92,1,76
249,78,0,1,74,1,81,1,96,1,96,0,77,88,0,1,97,0,90,0,74,0,72
262,3,0,0,13,0,5,0,20,0,23,0,8,9,0,0,0,0,19,1,29,0,17
267,4,0,0,12,0,5,1,15,0,9,1,12,6,1,0,5,1,2,1,16,0,0
